BestFitness,AvgFitness,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
57,143.0,1069,174,3289,6719,5344,6109,3776,4079,3547,6909
48,136.2,969,96,3288,6755,5368,6109,3745,4079,3547,6895
59,148.14,1010,172,3267,6443,5210,6068,3783,4095,3545,6922
56,122.8,908,195,3259,6681,5463,6109,3768,4100,3569,6827
51,121.7,888,195,3259,6681,5463,6109,3739,4043,3548,6827
63,133.32,908,91,3259,6681,5463,6109,3771,4150,3545,6874
68,134.06,981,131,3243,6657,5372,6081,3771,4120,3452,6871
69,143.38,919,195,3338,6696,5360,6109,3755,4050,3512,6855
66,138.32,964,198,3243,6695,5276,6106,3747,4120,3528,6844
65,144.3,874,243,3259,6681,5436,6089,3755,4050,3512,6864
60,152.34,919,195,3247,6681,5463,6109,3755,4091,3512,6855
60,168.02,1025,195,3247,6681,5463,6109,3755,4084,3512,6897
55,153.4,1025,210,3247,6681,5463,6109,3755,4084,3526,6855
57,177.28,916,430,3333,6710,5463,6109,3755,4091,3568,6855
56,166.56,883,309,3252,6775,5347,6105,3754,4091,3526,6913
61,147.46,883,241,3238,6775,5347,6105,3754,4091,3514,6913
65,169.76,875,145,3261,6778,5373,6075,3755,4093,3521,6922
70,171.28,875,145,3261,6765,5445,6084,3754,4042,3521,6922
70,166.46,875,145,3261,6765,5241,6085,3754,4042,3521,6922
69,165.26,901,56,3318,6633,5345,6110,3726,4080,3520,6887
74,157.16,912,71,3155,6484,5450,6136,3796,4099,3348,6923
73,166.72,901,371,3288,6760,5382,6116,3726,4080,3543,6887
70,164.48,960,223,3296,6824,5463,6089,3767,4101,3543,6945
68,166.54,929,131,3238,6717,5462,6042,3801,4101,3559,6874
83,151.3,934,178,3238,6722,5448,6049,3726,4095,3499,6874
72,154.86,900,496,3257,6792,5248,6110,3726,4080,3499,6942
66,161.52,935,54,3229,6760,5355,6091,3799,4102,3581,6900
74,175.96,1023,278,3310,6767,5419,6116,3726,4068,3499,6901
61,171.3,1000,315,3257,6737,5248,6092,3788,4106,3532,6881
82,165.82,884,108,3235,6756,5369,6105,3726,4124,3468,6900
72,179.14,965,43,3229,6667,5378,6112,3738,4069,3519,6866
84,166.9,961,7,3229,6649,5385,6023,3791,4119,3559,6866
71,166.22,861,78,3277,6707,5294,6116,3742,4071,3564,6879
55,153.88,861,108,3250,6743,5271,6088,3766,4071,3564,6879
68,141.02,1051,175,3257,6763,5294,6116,3742,4043,3553,6904
73,145.94,929,83,3219,6707,5354,6088,3766,4049,3548,6854
59,150.36,891,85,3298,6654,5440,6105,3766,4049,3548,6895
69,144.58,915,417,3267,6662,5443,6062,3787,4119,3527,6869
69,164.14,909,133,3245,6747,5443,6062,3787,4119,3527,6869
67,148.38,885,125,3228,6743,5276,6086,3745,4107,3554,6869
74,159.28,930,88,3250,6787,5277,6084,3740,4118,3461,6925
61,155.32,992,126,3265,6712,5276,6103,3773,4111,3516,6874
59,160.62,961,236,3322,6692,5276,6086,3787,4111,3527,6914
79,151.14,871,263,3250,6694,5402,6069,3752,4034,3561,6818
70,141.12,954,9,3265,6749,5454,6061,3783,4107,3480,6883
60,127.34,871,263,3277,6694,5402,6098,3753,4100,3561,6818
69,148.34,907,131,3298,6704,5276,6093,3807,4096,3509,6889
81,147.08,954,225,3250,6688,5425,6057,3856,4176,3548,6835
61,142.78,991,9,3325,6747,5454,6055,3784,4083,3553,6938
66,133.58,954,56,3250,6680,5425,6120,3753,4068,3488,6878
47,138.26,890,199,3293,6645,5413,6087,3784,4083,3553,6900
45,141.9,962,100,3288,6694,5447,6094,3779,4083,3553,6900
54,142.44,961,114,3288,6694,5447,6094,3779,4083,3588,6897
63,144.48,941,282,3337,6712,5451,6094,3728,4083,3553,6923
70,154.62,917,256,3251,6656,5238,6046,3755,4068,3485,6856
80,154.52,951,100,3247,6630,5292,6063,3777,4110,3585,6847
78,156.78,975,234,3241,6631,5488,6094,3728,4020,3547,6800
63,154.38,932,63,3247,6680,5247,6095,3777,4110,3585,6835
64,151.56,845,168,3273,6671,5278,6095,3777,4110,3550,6835
88,182.3,985,38,3215,6643,5246,6094,3728,4020,3475,6854
88,164.28,983,278,3304,6640,5404,6100,3783,4225,3519,6789
80,170.86,893,208,3239,6637,5532,6091,3784,4111,3551,6932
66,171.82,893,276,3244,6713,5427,6123,3758,4111,3551,6932
64,157.64,996,100,3278,6653,5416,6094,3773,4135,3564,6874
54,160.68,893,277,3325,6672,5416,6095,3769,4089,3579,6855
54,160.78,949,208,3325,6651,5416,6090,3773,4089,3550,6943
68,152.02,941,13,3280,6713,5427,6096,3782,4111,3607,6932
68,156.24,954,84,3312,6739,5440,6096,3782,4111,3607,6932
76,154.04,901,166,3221,6447,5456,6088,3773,4098,3590,6822
94,165.3,995,183,3303,6736,5485,6110,3788,4081,3608,6973
80,176.5,973,202,3261,6713,5345,6117,3745,4120,3510,6892
64,168.08,973,202,3261,6665,5345,6117,3758,4078,3510,6892
78,163.26,946,166,3221,6731,5433,6054,3756,4061,3503,6874
68,167.48,946,166,3221,6659,5263,6111,3756,4061,3503,6825
83,159.04,975,225,3299,6638,5502,6113,3798,4107,3491,6885
56,147.58,973,212,3289,6644,5365,6098,3778,4088,3503,6810
59,145.48,1034,289,3313,6673,5411,6113,3785,4088,3557,6892
70,151.34,973,212,3289,6633,5300,6085,3748,4090,3483,6825
69,146.0,979,276,3261,6655,5418,6113,3787,4107,3491,6918
73,151.36,963,217,3253,6655,5408,6113,3787,4107,3434,6938
72,148.3,902,225,3264,6703,5371,6104,3812,4143,3498,6880
70,138.96,1005,75,3295,6732,5369,6077,3776,4107,3471,6918
70,137.84,1005,75,3295,6732,5369,6077,3778,4107,3471,6918
79,140.52,898,92,3253,6744,5385,6140,3789,4094,3498,6918
79,138.54,946,16,3253,6744,5385,6140,3789,4094,3489,6922
56,134.16,898,92,3253,6744,5420,6084,3789,4094,3522,6920
77,133.16,1025,104,3259,6677,5371,6019,3778,4077,3538,6831
